0.849,0.300,3.942,4.713
2.351,0.300,1.119,1.702
3.969,0.300,5.829,1.008
4.790,0.300,3.844,0.835
5.709,0.300,4.166,0.701
7.280,0.300,4.749,0.549
9.129,0.300,4.324,0.438
10.034,0.300,5.041,0.399
11.696,0.300,5.517,0.342
13.302,0.300,3.925,0.301
14.489,0.300,4.465,0.276
15.404,0.300,4.148,0.260
17.004,0.300,3.571,0.235
17.935,0.300,3.859,0.223
19.859,0.300,3.603,0.201
20.656,0.300,3.336,0.194
21.648,0.300,3.226,0.185
23.137,0.300,3.040,0.173
24.692,0.300,2.829,0.162
26.162,0.300,2.787,0.153
27.281,0.300,2.661,0.147
28.788,0.300,2.573,0.139
29.477,0.300,2.452,0.136
30.542,0.300,2.525,0.131
32.288,0.300,2.443,0.124
33.601,0.300,2.338,0.119
35.014,0.300,2.139,0.114
36.393,0.300,1.962,0.110
37.304,0.300,1.911,0.107
38.515,0.300,1.884,0.104
39.660,0.300,1.872,0.101
41.379,0.300,1.665,0.097
42.300,0.300,1.576,0.095
43.698,0.300,1.705,0.092
45.529,0.300,1.498,0.088
46.640,0.300,1.569,0.086
48.251,0.300,1.380,0.083
49.380,0.300,1.403,0.081
