0.00, 0.00
0.40, 0.70
0.80, 2.45
1.20, 4.83
1.60, 7.51
2.00, 10.27
2.40, 12.94
2.80, 15.42
3.20, 17.62
3.60, 19.52
4.00, 21.09
4.40, 22.33
4.80, 23.26
5.20, 23.89
5.60, 24.25
6.00, 24.36
6.40, 24.26
6.80, 23.97
7.20, 23.51
7.60, 22.93
8.00, 22.23
8.40, 21.45
8.80, 20.61
9.20, 19.71
9.60, 18.78
10.00, 17.84
10.40, 16.88
10.80, 15.94
11.20, 15.00
11.60, 14.08
12.00, 13.19
12.40, 12.32
12.80, 11.49
13.20, 10.70
13.60, 9.94
14.00, 9.22
14.40, 8.53
14.80, 7.89
15.20, 7.28
15.60, 6.71
16.00, 6.18
16.40, 5.68
16.80, 5.22
17.20, 4.79
17.60, 4.39
18.00, 4.02
18.40, 3.67
18.80, 3.36
19.20, 3.06
19.60, 2.79
