-20.00, -2.35, 0.1
-19.60, -2.33, 0.1
-19.20, -2.23, 0.1
-18.80, -2.23, 0.1
-18.40, -2.42, 0.1
-18.00, -2.40, 0.1
-17.60, -2.31, 0.1
-17.20, -2.26, 0.1
-16.80, -2.22, 0.1
-16.40, -2.09, 0.1
-16.00, -2.28, 0.1
-15.60, -2.24, 0.1
-15.20, -2.33, 0.1
-14.80, -2.07, 0.1
-14.40, -2.33, 0.1
-14.00, -2.19, 0.1
-13.60, -2.11, 0.1
-13.20, -1.99, 0.1
-12.80, -1.91, 0.1
-12.40, -2.16, 0.1
-12.00, -1.85, 0.1
-11.60, -2.00, 0.1
-11.20, -1.94, 0.1
-10.80, -2.01, 0.1
-10.40, -1.80, 0.1
-10.00, -1.78, 0.1
-9.60, -1.69, 0.1
-9.20, -1.50, 0.1
-8.80, -1.64, 0.1
-8.40, -1.74, 0.1
-8.00, -1.82, 0.1
-7.60, -1.55, 0.1
-7.20, -1.55, 0.1
-6.80, -1.56, 0.1
-6.40, -1.49, 0.1
-6.00, -1.50, 0.1
-5.60, -1.35, 0.1
-5.20, -1.17, 0.1
-4.80, -1.31, 0.1
-4.40, -1.30, 0.1
-4.00, -1.14, 0.1
-3.60, -1.14, 0.1
-3.20, -0.99, 0.1
-2.80, -1.02, 0.1
-2.40, -0.94, 0.1
-2.00, -0.86, 0.1
-1.60, -0.66, 0.1
-1.20, -0.71, 0.1
-0.80, -0.61, 0.1
-0.40, -0.86, 0.1
-0.00, -0.46, 0.1
0.40, -0.40, 0.1
0.80, -0.33, 0.1
1.20, -0.28, 0.1
1.60, -0.23, 0.1
2.00, -0.16, 0.1
2.40, -0.15, 0.1
2.80, -0.14, 0.1
3.20, 0.15, 0.1
3.60, -0.06, 0.1
4.00, 0.33, 0.1
4.40, 0.52, 0.1
4.80, 0.39, 0.1
5.20, 0.51, 0.1
5.60, 0.33, 0.1
6.00, 0.64, 0.1
6.40, 0.62, 0.1
6.80, 0.45, 0.1
7.20, 0.73, 0.1
7.60, 0.72, 0.1
8.00, 0.86, 0.1
8.40, 0.97, 0.1
8.80, 1.12, 0.1
9.20, 1.22, 0.1
9.60, 0.92, 0.1
10.00, 1.08, 0.1
10.40, 1.20, 0.1
10.80, 1.15, 0.1
11.20, 1.28, 0.1
11.60, 1.19, 0.1
12.00, 1.28, 0.1
12.40, 1.56, 0.1
12.80, 1.40, 0.1
13.20, 1.39, 0.1
13.60, 1.69, 0.1
14.00, 1.64, 0.1
14.40, 1.68, 0.1
14.80, 1.72, 0.1
15.20, 1.79, 0.1
15.60, 1.81, 0.1
16.00, 1.89, 0.1
16.40, 2.01, 0.1
16.80, 1.97, 0.1
17.20, 2.00, 0.1
17.60, 1.90, 0.1
18.00, 2.01, 0.1
18.40, 1.95, 0.1
18.80, 1.74, 0.1
19.20, 2.16, 0.1
19.60, 2.14, 0.1
